,title,artist
0,"QUEVEDO: BZRP MUSIC SESSIONS, VOL. 52",BIZARRAP
1,AS IT WAS,HARRY STYLES
2,RUNNING UP THAT HILL (A DEAL WITH GOD),KATE BUSH
3,ME PORTO BONITO,BAD BUNNY
4,TITÍ ME PREGUNTÓ,BAD BUNNY
5,GLIMPSE OF US,JOJI
6,EFECTO,BAD BUNNY
7,OJITOS LINDOS,BAD BUNNY
8,MOSCOW MULE,BAD BUNNY
9,HEAT WAVES,GLASS ANIMALS
10,LEFT AND RIGHT (FEAT. JUNG KOOK OF BTS),CHARLIE PUTH
11,PROVENZA,KAROL G
12,ABOUT DAMN TIME,LIZZO
13,BAD HABIT,STEVE LACY
14,I AIN'T WORRIED,ONEREPUBLIC
15,TE FELICITO,SHAKIRA
16,TAROT,BAD BUNNY
17,STAY,THE KID LAROI
18,LATE NIGHT TALKING,HARRY STYLES
19,JIMMY COOKS,DRAKE
20,PARTY,BAD BUNNY
21,COLD HEART - PNAU REMIX,ELTON JOHN
22,BAM BAM,CAMILA CABELLO
23,I LIKE YOU (A HAPPIER SONG),POST MALONE
24,FIRST CLASS,JACK HARLOW
25,"KESARIYA (FROM ""BRAHMASTRA"")",PRITAM
26,VEGAS (FROM THE ORIGINAL MOTION PICTURE SOUNDTRACK ELVIS),DOJA CAT
27,SUNROOF,NICKY YOURE
28,GHOST,JUSTIN BIEBER
29,MIDDLE OF THE NIGHT,ELLEY DUHÉ
30,ONE KISS,CALVIN HARRIS
31,UNTIL I FOUND YOU,STEPHEN SANCHEZ
32,MASTER OF PUPPETS,METALLICA
33,LA CORRIENTE,BAD BUNNY
34,UNA NOCHE EN MEDELLÍN,CRIS MJ
35,DESPUÉS DE LA PLAYA,BAD BUNNY
36,BLINDING LIGHTS,THE WEEKND
37,BREAK MY SOUL,BEYONCÉ
38,"VILLANO ANTILLANO: BZRP MUSIC SESSIONS, VOL. 51",BIZARRAP
39,MAMIII,BECKY G
40,WHERE ARE YOU NOW,LOST FREQUENCIES
41,SHIVERS,ED SHEERAN
42,LA BACHATA,MANUEL TURIZO
43,ENEMY,IMAGINE DRAGONS
44,DESESPERADOS,RAUW ALEJANDRO
45,INDUSTRY BABY,LIL NAS X
46,WOMAN,DOJA CAT
47,DANDELIONS,RUTH B.
48,FERRARI,JAMES HYPE
49,SWEATER WEATHER,THE NEIGHBOURHOOD
50,DIE FOR YOU,THE WEEKND
51,LA LLEVO AL CIELO (FT. ÑENGO FLOW),CHRIS JEDI
52,ANOTHER LOVE,TOM ODELL
53,UN RATITO,BAD BUNNY
54,WATERMELON SUGAR,HARRY STYLES
55,SNAP,ROSA LINN
56,ULTRA SOLO REMIX,POLIMÁ WESTCOAST
57,WAIT FOR U,FUTURE
58,NORMAL,FEID
59,NEVERITA,BAD BUNNY
60,PEPAS,FARRUKO
61,TRAITOR,OLIVIA RODRIGO
62,BAD HABITS,ED SHEERAN
63,MASSIVE,DRAKE
64,ARSON,J-HOPE
65,GOOD 4 U,OLIVIA RODRIGO
66,CALL OUT MY NAME,THE WEEKND
67,OJOS MARRONES,LASSO
68,ANDREA,BAD BUNNY
69,BONES,IMAGINE DRAGONS
70,SAVE YOUR TEARS,THE WEEKND
71,THATS WHAT I WANT,LIL NAS X
72,MORE,J-HOPE
73,505,ARCTIC MONKEYS
74,DON’T BLAME ME,TAYLOR SWIFT
75,DRIVERS LICENSE,OLIVIA RODRIGO
76,LEVITATING,DUA LIPA
77,EASY ON ME,ADELE
78,LO SIENTO BB:/,TAINY
79,BELLY DANCER,IMANBEK
80,DEJA VU,OLIVIA RODRIGO
81,HAPPIER THAN EVER,BILLIE EILISH
82,BETTY (GET MONEY),YUNG GRAVY
83,ENVOLVER,ANITTA
84,UN COCO,BAD BUNNY
85,DOS MIL 16,BAD BUNNY
86,ONLY LOVE CAN HURT LIKE THIS,PALOMA FAITH
87,POP!,NAYEON
88,ME FUI DE VACACIONES,BAD BUNNY
89,I WAS NEVER THERE,THE WEEKND
90,YO NO SOY CELOSO,BAD BUNNY
91,STARBOY,THE WEEKND
92,MY UNIVERSE,COLDPLAY
93,COOPED UP,POST MALONE
94,IN THE STARS,BENSON BOONE
95,KISS ME MORE,DOJA CAT
96,LAST LAST,BURNA BOY
97,LAYLA,DJ ROBIN
98,LIGHT SWITCH,CHARLIE PUTH
99,ABCDEFU,GAYLE
