,S Uri,Song,A Uri,Artist,Genre,Song Pop,Artist Pop,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,Id,Uri,Track_href,Analysis_url,Time_signature,Artist_pop,Genres,Track_pop,Duration_ms
0,1VC88utigCuNuRzYwWpuBu,Rio d´Água,55axQKUUXr8LoUcKagMp5x,SYRO,['portuguese pop'],42,42,0.413,0.413,7,-6.951,1,0.0296,0.128,0,0.253,0.358,142.786,audio_features,1VC88utigCuNuRzYwWpuBu,spotify:track:1VC88utigCuNuRzYwWpuBu,https://api.spotify.com/v1/tracks/1VC88utigCuNuRzYwWpuBu,https://api.spotify.com/v1/audio-analysis/1VC88utigCuNuRzYwWpuBu,4,NaN,NaN,NaN,203280
1,1Uw3oZqwleMec8M6ZWQ4uI,Madrugada sem Sono,6PHEevniO76JNRqHLVXWX5,Gisela João,['fado'],18,33,0.43,0.337,4,-6.228,0,0.0288,0.893,0.000348,0.0935,0.181,143.664,audio_features,1Uw3oZqwleMec8M6ZWQ4uI,spotify:track:1Uw3oZqwleMec8M6ZWQ4uI,https://api.spotify.com/v1/tracks/1Uw3oZqwleMec8M6ZWQ4uI,https://api.spotify.com/v1/audio-analysis/1Uw3oZqwleMec8M6ZWQ4uI,4,NaN,NaN,NaN,395576
2,1da0wHAIYB0XmxwOBxEJbf,Vieste do Fim do Mundo,6PHEevniO76JNRqHLVXWX5,Gisela João,['fado'],19,33,0.527,0.421,9,-5.602,0,0.0296,0.874,9.26e-06,0.101,0.342,114.926,audio_features,1da0wHAIYB0XmxwOBxEJbf,spotify:track:1da0wHAIYB0XmxwOBxEJbf,https://api.spotify.com/v1/tracks/1da0wHAIYB0XmxwOBxEJbf,https://api.spotify.com/v1/audio-analysis/1da0wHAIYB0XmxwOBxEJbf,4,NaN,NaN,NaN,222348
3,2LU7ySAComfMxRKvtdKw7I,Meu amigo está longe,6PHEevniO76JNRqHLVXWX5,Gisela João,['fado'],22,33,0.476,0.394,4,-5.643,0,0.0359,0.891,1.81e-05,0.0924,0.092,118.737,audio_features,2LU7ySAComfMxRKvtdKw7I,spotify:track:2LU7ySAComfMxRKvtdKw7I,https://api.spotify.com/v1/tracks/2LU7ySAComfMxRKvtdKw7I,https://api.spotify.com/v1/audio-analysis/2LU7ySAComfMxRKvtdKw7I,4,NaN,NaN,NaN,228018
4,11hVukNCQSzwEvdiGITRT5,Bailarico Saloio,6PHEevniO76JNRqHLVXWX5,Gisela João,['fado'],24,33,0.615,0.751,9,-3.743,1,0.0326,0.584,5.94e-06,0.267,0.931,143.75,audio_features,11hVukNCQSzwEvdiGITRT5,spotify:track:11hVukNCQSzwEvdiGITRT5,https://api.spotify.com/v1/tracks/11hVukNCQSzwEvdiGITRT5,https://api.spotify.com/v1/audio-analysis/11hVukNCQSzwEvdiGITRT5,4,NaN,NaN,NaN,129993
5,6Z63Dj1ZzBZp4iDpMIDaYO,Voltaste,6PHEevniO76JNRqHLVXWX5,Gisela João,['fado'],16,33,0.499,0.272,11,-7.297,0,0.0377,0.894,5.27e-06,0.0801,0.234,102.89,audio_features,6Z63Dj1ZzBZp4iDpMIDaYO,spotify:track:6Z63Dj1ZzBZp4iDpMIDaYO,https://api.spotify.com/v1/tracks/6Z63Dj1ZzBZp4iDpMIDaYO,https://api.spotify.com/v1/audio-analysis/6Z63Dj1ZzBZp4iDpMIDaYO,4,NaN,NaN,NaN,224208
6,67Mw5CGNKVt4khlbo8GrDX,Sei finalmente,6PHEevniO76JNRqHLVXWX5,Gisela João,['fado'],11,33,0.464,0.329,6,-6.487,1,0.0312,0.872,4.78e-06,0.12,0.27,104.499,audio_features,67Mw5CGNKVt4khlbo8GrDX,spotify:track:67Mw5CGNKVt4khlbo8GrDX,https://api.spotify.com/v1/tracks/67Mw5CGNKVt4khlbo8GrDX,https://api.spotify.com/v1/audio-analysis/67Mw5CGNKVt4khlbo8GrDX,4,NaN,NaN,NaN,250001
7,2KVdew1NWyqSMPKnn2UWYr,Canto de Rua,6PHEevniO76JNRqHLVXWX5,Gisela João,['fado'],12,33,0.471,0.459,7,-8.393,1,0.0412,0.831,0.917,0.0973,0.0384,107.654,audio_features,2KVdew1NWyqSMPKnn2UWYr,spotify:track:2KVdew1NWyqSMPKnn2UWYr,https://api.spotify.com/v1/tracks/2KVdew1NWyqSMPKnn2UWYr,https://api.spotify.com/v1/audio-analysis/2KVdew1NWyqSMPKnn2UWYr,3,NaN,NaN,NaN,208404
8,325MR7EflLBdSRABTLZPBA,Primavera Triste,6PHEevniO76JNRqHLVXWX5,Gisela João,['fado'],11,33,0.54,0.376,3,-5.803,1,0.0281,0.865,6.57e-05,0.0684,0.388,111.359,audio_features,325MR7EflLBdSRABTLZPBA,spotify:track:325MR7EflLBdSRABTLZPBA,https://api.spotify.com/v1/tracks/325MR7EflLBdSRABTLZPBA,https://api.spotify.com/v1/audio-analysis/325MR7EflLBdSRABTLZPBA,4,NaN,NaN,NaN,225298
9,6vSgPlTJcxMQvclzFWBpl0,(A Casa da) Mariquinhas,6PHEevniO76JNRqHLVXWX5,Gisela João,['fado'],34,33,0.638,0.647,2,-4.76,1,0.0526,0.659,1.07e-06,0.251,0.864,92.718,audio_features,6vSgPlTJcxMQvclzFWBpl0,spotify:track:6vSgPlTJcxMQvclzFWBpl0,https://api.spotify.com/v1/tracks/6vSgPlTJcxMQvclzFWBpl0,https://api.spotify.com/v1/audio-analysis/6vSgPlTJcxMQvclzFWBpl0,4,NaN,NaN,NaN,143290
10,0XFA4GoVK69JOePotEybwS,Sou Tua,6PHEevniO76JNRqHLVXWX5,Gisela João,['fado'],18,33,0.508,0.353,0,-5.497,1,0.033,0.87,5.86e-06,0.0888,0.343,115.15,audio_features,0XFA4GoVK69JOePotEybwS,spotify:track:0XFA4GoVK69JOePotEybwS,https://api.spotify.com/v1/tracks/0XFA4GoVK69JOePotEybwS,https://api.spotify.com/v1/audio-analysis/0XFA4GoVK69JOePotEybwS,4,NaN,NaN,NaN,194541
11,2WgAVVAGYdIpta9SPd59lH,Malhões e Vira,6PHEevniO76JNRqHLVXWX5,Gisela João,['fado'],27,33,0.571,0.654,0,-3.447,1,0.0333,0.696,2.79e-06,0.0397,0.898,117.812,audio_features,2WgAVVAGYdIpta9SPd59lH,spotify:track:2WgAVVAGYdIpta9SPd59lH,https://api.spotify.com/v1/tracks/2WgAVVAGYdIpta9SPd59lH,https://api.spotify.com/v1/audio-analysis/2WgAVVAGYdIpta9SPd59lH,4,NaN,NaN,NaN,216025
12,33iJqt6xdIH3NESDkzrFi6,Maldição,6PHEevniO76JNRqHLVXWX5,Gisela João,['fado'],14,33,0.546,0.321,9,-7.571,0,0.0342,0.857,4.8e-05,0.112,0.206,105.213,audio_features,33iJqt6xdIH3NESDkzrFi6,spotify:track:33iJqt6xdIH3NESDkzrFi6,https://api.spotify.com/v1/tracks/33iJqt6xdIH3NESDkzrFi6,https://api.spotify.com/v1/audio-analysis/33iJqt6xdIH3NESDkzrFi6,4,NaN,NaN,NaN,278202
