,S Uri,Song,A Uri,Artist,Genre,Song Pop,Artist Pop
0,0vZwdJBXOGppAMLjwDUNWg,A Rã,17wDxPR2GcU3r1dpCoCiUi,João Donato,"['bossa nova', 'brazilian jazz', 'mpb', 'piano mpb']",50,48
1,0Vl9aGb0dmeiCQ2ATgNK2B,Mas Que Nada,6hCsqVHnBo1BVQWuIjRMkL,Sergio Mendes & Brasil '66,['lounge'],57,50
2,3oAUlcseAPHcBVJ6nHWbJv,Só Danço Samba,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,"['bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz']",0,62
3,1zKgDX6cFrdPkNF5Z04snQ,Águas De Março,3pO5VjZ4wOHCMBXOvbMISG,Antônio Carlos Jobim,"['bossa nova', 'brazilian classical', 'brazilian jazz', 'latin classical', 'mpb', 'violao']",0,64
4,4SSADZr3VsQeoqNbjLXw8W,Agua De Beber,5rX2c1zow6hCph8PnnU3kF,Astrud Gilberto,"['adult standards', 'bossa nova', 'brazilian jazz', 'lounge', 'samba-jazz', 'vocal jazz']",0,59
5,0Eb3TL58Q9d0MUToLIcuAG,O Pato,7oEkUINVIj1Nr3Wnj8tzqr,Gilberto Gil,"['bossa nova', 'mpb', 'samba', 'tropicalia', 'violao']",0,63
6,3QczGFzPU2pr54vcRn90at,The Girl From Ipanema,1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,"['adult standards', 'easy listening', 'lounge']",0,73
7,0QhoniumuDQIQY46aIebRq,Chega de Saudade,77ZUbcdoU5KCPHNUl8bgQy,João Gilberto,"['bossa nova', 'brazilian jazz', 'cool jazz', 'jazz guitar', 'mpb', 'samba', 'violao']",46,62
8,68K8VaazzURRjLf84yaOA3,Nova Bossa Nova,5I0EPnV9gwrZYTbScjnaOk,Marcos Valle,"['bossa nova', 'brazilian boogie', 'mpb']",50,49
9,2dA7eKXUzw1Ndc78kKRefH,Samba Da Benção,5HlnN6xF2MD87KhGRmCRTd,Vinícius de Moraes,"['bossa nova', 'mpb', 'samba']",0,56
10,0jsezJ6ZF2MjxTGIqSQfWC,Para Machuchar Meu Coracao,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,"['bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz']",0,62
11,4kCy1U3iRy8nnrkO8mr9Ix,Bossa Nova Cha Cha,174ThXFgQg2VCq9r3m8ceb,Luiz Bonfá,"['bossa nova', 'brazilian jazz', 'jazz guitar', 'samba-jazz', 'violao']",43,52
12,0bORdXCiaglwcI2c4V3hNA,Agua de Beber,3pO5VjZ4wOHCMBXOvbMISG,Antônio Carlos Jobim,"['bossa nova', 'brazilian classical', 'brazilian jazz', 'latin classical', 'mpb', 'violao']",44,64
13,1SL9baz3WrN29MAkeyvaHn,Desde Que O Samba E Samba,7HGNYPmbDrMkylWqeFCOIQ,Caetano Veloso,"['bossa nova', 'mpb', 'samba de roda', 'tropicalia']",0,64
14,2GW4RDBkjLWUDjumnHB3K1,Desafinado,77ZUbcdoU5KCPHNUl8bgQy,João Gilberto,"['bossa nova', 'brazilian jazz', 'cool jazz', 'jazz guitar', 'mpb', 'samba', 'violao']",49,62
15,5JpzCoU3507wF3znYcQbFA,Aos Pés da Cruz,7oEkUINVIj1Nr3Wnj8tzqr,Gilberto Gil,"['bossa nova', 'mpb', 'samba', 'tropicalia', 'violao']",0,63
16,1IkE3IsuP4HNU073wsE6T5,Água de Beber,1WxunfiOh9Ws0uu2JoDmjL,Quarteto Jobim-Morelenbaum,"['bossa nova', 'samba-jazz']",56,41
17,0yO7Rg00ZJiMMb8pHiBojc,Samba de Orfeu,174ThXFgQg2VCq9r3m8ceb,Luiz Bonfá,"['bossa nova', 'brazilian jazz', 'jazz guitar', 'samba-jazz', 'violao']",53,52
18,6OeIgS4Sk5Qea5Ds5MGTGe,Corcovado (Quiet Nights Of Quiet Stars) - Single Version,0FMucZsEnCxs5pqBjHjIc8,Stan Getz,"['bossa nova', 'cool jazz', 'jazz', 'jazz saxophone', 'latin jazz', 'samba-jazz']",0,62
19,7Fp9aHipEXSe218KJOQOG1,Fotografia,0yFvXd36g5sNKYDi0Kkvl8,Elis Regina,"['bossa nova', 'brazilian jazz', 'mpb', 'samba']",0,58
20,28PORYgAQ5vrbwtobRlCoq,A Felicidade,3pO5VjZ4wOHCMBXOvbMISG,Antônio Carlos Jobim,"['bossa nova', 'brazilian classical', 'brazilian jazz', 'latin classical', 'mpb', 'violao']",46,64
21,2v9LGwYybWMNhO0xZXpo6M,Bim Bom,77ZUbcdoU5KCPHNUl8bgQy,João Gilberto,"['bossa nova', 'brazilian jazz', 'cool jazz', 'jazz guitar', 'mpb', 'samba', 'violao']",43,62
22,5DHsGfjaxIpt0v0dPGaWdI,Carta Ao Tom 74,5HlnN6xF2MD87KhGRmCRTd,Vinícius de Moraes,"['bossa nova', 'mpb', 'samba']",54,56
23,2moGHNaU8a4j1iowyOiYnF,Samba da Bênção,3f5VCwd57gZsqMad28jyLV,Maria Bethânia,"['bossa nova', 'mpb', 'nova mpb', 'samba', 'samba de roda', 'umbanda']",56,59
24,1zxMcomnqXDoPipY4ACR8t,Bluchanga,17wDxPR2GcU3r1dpCoCiUi,João Donato,"['bossa nova', 'brazilian jazz', 'mpb', 'piano mpb']",0,48
25,6HOtn3ccKCgz2vQkWFIYnp,Photograph,5rX2c1zow6hCph8PnnU3kF,Astrud Gilberto,"['adult standards', 'bossa nova', 'brazilian jazz', 'lounge', 'samba-jazz', 'vocal jazz']",45,59
26,6BAlnEh3wnUMpIBiuQQHYg,Diz Que Fui Por Ai,64KVQ4YupSZYrGNLduVtj3,Nara Leão,"['bossa nova', 'brazilian jazz', 'mpb', 'samba', 'tropicalia']",52,50
27,2MTrACUycdhqhQ9dYpxWJb,Só Tinha De Ser Com Você,0yFvXd36g5sNKYDi0Kkvl8,Elis Regina,"['bossa nova', 'brazilian jazz', 'mpb', 'samba']",0,58
